"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Estimate!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US06001400100","Census Tract 4001, Alameda County, California","3035","null","402","null","2910","null","397","null","2205","null","408","null","94","72","null","null","0","null","13","null","424","null","83","null","0","13","null","null","17","null","29","null","170","null","117","null","17","null","25","null","153","null","109","null","125","78","null","null","94","null","69","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","31","null","41","null","0","null","13","null","0","13","null","null","0","13","null","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","1983","null","209","null","1820","null","210","null","1333","null","171","null","44","31","null","null","6","null","8","null","219","null","102","null","0","13","null","null","7","null","12","null","211","null","106","null","0","null","13","null","211","null","106","null","163","78","null","null","69","null","46","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","27","null","25","null","67","null","52","null","17","25","null","null","50","42","null","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","5058","null","559","null","4595","null","512","null","3085","null","492","null","433","177","null","null","6","null","15","null","773","null","386","null","34","56","null","null","55","null","71","null","209","null","193","null","0","null","19","null","209","null","193","null","463","246","null","null","177","null","89","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","138","null","144","null","148","null","163","null","148","163","null","null","0","19","null","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","4179","null","529","null","3706","null","514","null","2695","null","470","null","278","155","null","null","27","null","35","null","418","null","155","null","0","13","null","null","6","null","9","null","282","null","108","null","68","null","103","null","214","null","94","null","473","218","null","null","182","null","130","null","22","null","36","null","9","null","14","null","0","13","null","null","0","null","13","null","195","null","203","null","65","null","50","null","25","25","null","null","40","43","null","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","4021","null","631","null","3662","null","631","null","1797","null","239","null","1101","606","null","null","0","null","13","null","387","null","140","null","0","13","null","null","0","null","13","null","377","null","213","null","18","null","21","null","359","null","212","null","359","169","null","null","162","null","109","null","8","null","12","null","0","null","13","null","0","13","null","null","0","null","13","null","87","null","87","null","102","null","79","null","23","22","null","null","79","72","null","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1812","null","230","null","1686","null","225","null","795","null","132","null","509","170","null","null","7","null","10","null","164","null","72","null","11","18","null","null","38","null","37","null","162","null","68","null","0","null","13","null","162","null","68","null","126","58","null","null","73","null","42","null","2","null","5","null","0","null","13","null","24","27","null","null","0","null","13","null","8","null","10","null","19","null","19","null","0","13","null","null","19","19","null","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","5165","null","615","null","4428","null","491","null","2245","null","463","null","1477","378","null","null","43","null","56","null","301","null","146","null","0","19","null","null","0","null","19","null","362","null","137","null","29","null","36","null","333","null","127","null","737","538","null","null","143","null","130","null","9","null","14","null","0","null","19","null","0","19","null","null","0","null","19","null","493","null","482","null","92","null","79","null","49","52","null","null","43","38","null","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","4001","null","492","null","3821","null","496","null","1988","null","468","null","823","336","null","null","0","null","13","null","661","null","383","null","4","8","null","null","0","null","13","null","345","null","198","null","141","null","170","null","204","null","125","null","180","116","null","null","38","null","37","null","34","null","48","null","19","null","21","null","0","13","null","null","0","null","13","null","66","null","94","null","23","null","34","null","23","34","null","null","0","13","null","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","2853","null","462","null","2322","null","378","null","978","null","191","null","827","353","null","null","54","null","82","null","142","null","111","null","0","13","null","null","0","null","13","null","321","null","161","null","110","null","126","null","211","null","95","null","531","300","null","null","56","null","39","null","19","null","30","null","0","null","13","null","0","13","null","null","0","null","13","null","421","null","306","null","35","null","42","null","35","42","null","null","0","13","null","null",
