CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9136283,2020,2020-10-05,0109,2020-07-23,1153,8658,1,4,5,7,0109,0,0,0,,0,14X,"HARRISON ST","BAY ST",40.00,S,N,A,-,N,,,,,,,,,,N,2,0,2,2,A,-,11,21950,B,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,N,60,1,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.26160430908203,37.812732696533203
9355765,2021,2021-11-08,0102,2021-09-25,2133,JP241113,,6,5,3,0102,0,0,0,,0,002,"SAN PABLO",MARIN,0.00,,Y,A,-,Y,ALA,4,123,-,-,4.410,H,-,S,N,2,0,1,2,A,-,11,21453,D,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",37.886810302734375,-122.297607421875,ALAMEDA,ALBANY,-122.29783630371094,37.886409759521484
91563207,2021,2021-09-06,9375,2021-08-30,2015,022229,,1,2,9,0100,0,3,5,,2,002,"COLBY STREET","HESPERIAN BOULEVARD",10.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,D,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",37.696029663085938,-122.12973785400391,ALAMEDA,UNINCORPORATED,-122.12997436523438,37.696048736572266
6290546,2013,2014-10-31,0109,2013-05-01,1518,7884,,3,5,7,0109,0,0,0,,0,03X,"JACKSON ST","12TH ST",7.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.2661939,37.8006077
6855225,2015,2015-03-23,0103,2015-01-04,1756,55,40,7,5,6,0103,0,0,0,,0,011,"SACRAMENTO ST","WOOLSEY ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21950,B,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.27844998,37.850579959999997
6855226,2015,2015-03-23,0103,2015-01-04,1516,108,13,7,5,6,0103,0,0,0,,0,001,"VICENTE AV","COLUSA AV",211.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.28312304000001,37.894273839999997
8036886,2016,2016-05-10,0103,2016-03-06,2246,79,23,7,5,6,0103,0,0,0,,0,003,"UNIVERSITY AV","UNIVERSITY AV 1716",0.00,,Y,C,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,B,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.27714002,37.870970329999999
8104856,2016,2016-08-24,0109,2016-07-15,2257,9415,1,5,5,7,0109,0,0,0,,0,06X,"MARTIN LUTHER KING JR WY","34TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,F,G,B,B,A,H,-,C,A,0,Y,,,,Y,,-,99,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.27002991000001,37.82336995
6718714,2017,2019-04-08,0106,2017-09-29,1835,437,,5,5,6,0106,0,0,0,,0,00H,"FABIAN WY","KARN DR",143.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21950,B,N,G,B,E,A,H,-,A,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.626890000000003,-122.07097,ALAMEDA,HAYWARD,-122.0707689,37.627096469999998
8502818,2016,2018-01-09,0109,2016-11-02,0418,8217,1,3,5,7,0109,0,0,0,,0,07X,"MARKET ST","26TH ST",140.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,,F,G,B,E,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.27741431,37.817869219999999
8525362,2017,2018-01-10,0107,2017-10-24,2134,A494,C620,2,5,5,0107,0,0,0,,0,00C,"S LIVERMORE AV","COLLEGE AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,,N,G,B,B,A,H,-,C,D,0,Y,,,,Y,Y,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",37.674660000000003,-121.75693,ALAMEDA,LIVERMORE,-121.75690989,37.674669940000001
8911548,2019,2020-09-09,0109,2019-12-12,1834,8858,1,4,5,7,0109,0,0,0,,0,02X,"ADELINE ST","7TH ST EXT",150.00,N,N,B,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,E,B,H,-,C,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.28805541992188,37.804206848144531
9182259,2020,2020-12-29,0109,2020-10-14,0044,9913,2,3,5,7,0109,0,0,0,,0,23X,"INTERNATIONAL BL","34TH AV",60.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,"- ",,,F,G,B,F,A,H,-,C,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.22365570068359,37.776565551757812
7070849,2015,2015-09-18,0105,2015-09-04,0837,2901,520,5,5,6,0105,0,0,0,,0,002,"MOWRY AV","SUTTER DR",9.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,A,-,A,A,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,FREMONT,-121.99666317000001,37.538340779999999
8333367,2017,2017-07-21,0106,2017-02-10,1914,405,,5,5,6,0106,0,0,0,,0,00D,"SANTA CLARA ST","LARCHMONT ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,12,22450,,N,G,B,B,A,H,-,D,D,0,Y,,,,Y,,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,HAYWARD,-122.0946699,37.652619940000001
8521954,2017,2017-12-27,0109,2017-08-11,1317,8557,1,5,5,7,0109,0,0,0,,0,05X,"18TH ST","POPLAR ST",200.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.28751502,37.813086550000001
8733022,2018,2018-11-05,0112,2018-10-25,2012,332,,4,5,5,0112,0,0,0,,0,001,"RT 185","OAKES BL",12.00,N,N,A,-,Y,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,"SAN LEANDRO",,
5677592,2012,2013-08-03,0109,2012-03-14,2215,8549,1,3,5,7,0109,0,0,0,,0,013,"MORAGA AV","LA SALLE AV",10.00,W,N,C,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21456,B,N,G,B,B,B,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.21058248999999,37.826227770000003
6718248,2014,2015-03-16,0109,2014-08-30,1338,8700,1,6,5,7,0109,0,0,0,,0,19X,"E 12TH ST","3RD AV",10.00,E,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,J,48,0,0,0,1,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.25644655000001,37.796509790000002
8404474,2017,2017-09-23,0109,2017-01-12,2220,8966,1,4,5,7,0109,0,0,0,,0,19X,"17TH AV","INTERNATIONAL BL",50.00,N,N,B,-,N,,,,,,,,,,N,1,1,0,2,A,-,08,22107,,F,G,B,E,A,H,-,C,D,0,Y,,,,Y,,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.24301572,37.787829629999997
8465932,2018,2019-07-17,0109,2018-09-09,0606,8658,2,7,5,7,0109,0,0,0,,0,28X,"MACARTHUR BL","RICHARDS RD",145.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.18780517578125,37.78228759765625
