state,county,fips_state,fips_county,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed
Alabama,Autauga County,1,1001,2000,3074,109,0,106
Alabama,Autauga County,1,1001,2001,3264,75,0,
Alabama,Autauga County,1,1001,2002,3454,94,0,
Alabama,Autauga County,1,1001,2003,3644,100,0,
Alabama,Autauga County,1,1001,2004,3834,112,0,
Alabama,Autauga County,1,1001,2005,4024,95,0,
Alabama,Autauga County,1,1001,2006,4213,128,0,
Alabama,Autauga County,1,1001,2007,4403,123,0,
Alabama,Autauga County,1,1001,2008,4593,137,0,
Alabama,Autauga County,1,1001,2009,4783,108,0,
Alabama,Autauga County,1,1001,2010,4973,125,0,
Alabama,Autauga County,1,1001,2011,5040,118,0,
Alabama,Autauga County,1,1001,2012,5107,175,0,
Alabama,Autauga County,1,1001,2013,5174,181,0,
Alabama,Autauga County,1,1001,2014,5240,150,0,
Alabama,Autauga County,1,1001,2015,5307,161,0,
Alabama,Autauga County,1,1001,2016,5374,168,0,
Alabama,Autauga County,1,1001,2017,5441,152,0,151
Alabama,Baldwin County,1,1003,2000,11320,279,0,
Alabama,Baldwin County,1,1003,2001,12199,296,0,
Alabama,Baldwin County,1,1003,2002,13078,341,0,
Alabama,Baldwin County,1,1003,2003,13957,399,0,
Alabama,Baldwin County,1,1003,2004,14836,451,0,
Alabama,Baldwin County,1,1003,2005,15715,525,0,
Alabama,Baldwin County,1,1003,2006,16593,516,0,
Alabama,Baldwin County,1,1003,2007,17472,618,0,
Alabama,Baldwin County,1,1003,2008,18351,630,0,
Alabama,Baldwin County,1,1003,2009,19230,651,0,
Alabama,Baldwin County,1,1003,2010,20109,659,0,
Alabama,Baldwin County,1,1003,2011,20748,810,0,
Alabama,Baldwin County,1,1003,2012,21386,881,0,
Alabama,Baldwin County,1,1003,2013,22025,863,0,
Alabama,Baldwin County,1,1003,2014,22663,747,0,
Alabama,Baldwin County,1,1003,2015,23302,726,0,
Alabama,Baldwin County,1,1003,2016,23940,793,0,
Alabama,Baldwin County,1,1003,2017,24579,832,0,807
Alabama,Barbour County,1,1005,2000,2797,31,0,
Alabama,Barbour County,1,1005,2001,2844,30,0,
Alabama,Barbour County,1,1005,2002,2890,36,0,
Alabama,Barbour County,1,1005,2003,2937,32,0,
Alabama,Barbour County,1,1005,2004,2984,28,0,
Alabama,Barbour County,1,1005,2005,3031,21,0,
Alabama,Barbour County,1,1005,2006,3077,32,0,
Alabama,Barbour County,1,1005,2007,3124,31,0,
Alabama,Barbour County,1,1005,2008,3171,15,0,
Alabama,Barbour County,1,1005,2009,3217,21,0,
Alabama,Barbour County,1,1005,2010,3264,19,0,
Alabama,Barbour County,1,1005,2011,3277,21,0,
Alabama,Barbour County,1,1005,2012,3289,25,0,
Alabama,Barbour County,1,1005,2013,3302,32,0,
Alabama,Barbour County,1,1005,2014,3314,27,0,
Alabama,Barbour County,1,1005,2015,3327,28,0,
Alabama,Barbour County,1,1005,2016,3339,41,0,
Alabama,Barbour County,1,1005,2017,3352,26,0,26
Alabama,Bibb County,1,1007,2000,1470,22,0,
Alabama,Bibb County,1,1007,2001,1517,23,0,
Alabama,Bibb County,1,1007,2002,1564,17,0,
Alabama,Bibb County,1,1007,2003,1612,21,0,
Alabama,Bibb County,1,1007,2004,1659,23,0,
Alabama,Bibb County,1,1007,2005,1706,20,0,
Alabama,Bibb County,1,1007,2006,1753,17,0,
Alabama,Bibb County,1,1007,2007,1800,13,0,
Alabama,Bibb County,1,1007,2008,1848,35,0,
Alabama,Bibb County,1,1007,2009,1895,18,0,
Alabama,Bibb County,1,1007,2010,1942,34,0,
Alabama,Bibb County,1,1007,2011,1969,32,0,
Alabama,Bibb County,1,1007,2012,1996,29,0,
Alabama,Bibb County,1,1007,2013,2023,37,0,
Alabama,Bibb County,1,1007,2014,2050,27,0,
Alabama,Bibb County,1,1007,2015,2077,46,0,
Alabama,Bibb County,1,1007,2016,2104,30,0,
Alabama,Bibb County,1,1007,2017,2131,43,0,43
