CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8573346,2018,2018-03-21,0109,2018-01-10,1919,9014,1,3,5,7,0109,0,0,0,,0,19X,"EAST 15TH ST","5TH AV",5.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,F,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.25290679931641,37.796398162841797
8926673,2019,2019-08-26,0109,2019-07-06,1944,8444,1,6,5,7,0109,0,0,0,,0,02X,"8TH ST","CAMPBELL ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,G,B,D,A,G,-,A,D,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.29892730712891,37.807350158691406
9090763,2020,2020-06-10,0109,2020-02-22,1624,9748,1,6,5,7,0109,0,0,0,,0,03X,"8TH ST","OAK ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,A,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.26547241210938,37.796939849853516
9133211,2020,2020-09-14,0109,2020-06-26,1629,9461,2,5,5,7,0109,0,0,0,,0,23X,"38TH AV","INTERNATIONAL BL",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,M,G,B,A,A,H,-,A,A,0,,Y,,Y,Y,Y,F,26,0,0,1,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.21993255615234,37.774799346923828
9136283,2020,2020-10-05,0109,2020-07-23,1153,8658,1,4,5,7,0109,0,0,0,,0,14X,"HARRISON ST","BAY ST",40.00,S,N,A,-,N,,,,,,,,,,N,2,0,2,2,A,-,11,21950,B,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,N,60,1,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.26160430908203,37.812732696533203
9297072,2021,2021-09-13,0109,2021-05-12,0539,8676,2,3,5,7,0109,0,0,0,,0,23X,"INTERNATIONAL BL","35TH AV",3.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.22269439697266,37.776126861572266
9360439,2021,2021-11-17,0109,2021-07-16,0510,9563,2,5,5,7,0109,0,0,0,,0,32X,"INTERNATIONAL BL","103RD AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22107,A,F,B,G,A,A,H,-,C,A,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.16793060302734,37.740932464599609
9512485,2022,2022-10-28,0109,2022-04-19,0901,9921,1,2,5,7,0109,0,0,0,,0,14X,"LENOX AV","GRAND AV",6.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.25845336914062,37.809333801269531
9586652,2022,2023-06-16,0109,2022-10-13,1528,9909,1,4,5,7,0109,0,0,0,,0,09X,"LINDA AV","PIEDMONT AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,3,4,A,-,05,21651,B,N,A,-,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,0,3,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.25121307373047,37.827342987060547
8810209,2019,2019-03-12,0109,2019-01-08,1824,9283,1,2,5,7,0109,0,0,0,,0,04X,"14TH ST","FRANKLIN ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.26997375488281,37.803829193115234
8830464,2019,2019-03-28,0109,2019-02-12,1015,9488,1,2,5,7,0109,0,0,0,,0,08X,"SHAFTER AV","38TH ST",40.00,N,N,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.26026153564453,37.826637268066406
8868622,2019,2019-06-11,0109,2019-03-18,0639,9510,2,1,5,7,0109,0,0,0,,0,34X,"INTERNATIONAL BL","98TH AV",50.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,M,G,B,E,A,H,-,A,D,0,Y,,,,Y,Y,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.17066955566406,37.744449615478516
8947359,2019,2019-10-07,0109,2019-06-17,0838,9488,1,1,5,7,0109,0,0,0,,0,08X,"HARRISON ST","HAMILTON ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.25958251953125,37.814781188964844
9102367,2020,2020-08-05,0109,2020-04-28,1727,8389,1,2,5,7,0109,0,0,0,,0,19X,"INTERNATIONAL BL","17TH AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,08,22107,,M,A,B,A,A,D,-,A,D,0,,Y,,,Y,,A,01,0,0,2,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.24311828613281,37.7877197265625
9369131,2021,2021-12-09,0109,2021-03-12,1732,9294,1,5,5,7,0109,0,0,0,,0,26X,"SAN LEANDRO ST","44TH AV",10.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,,N,D,G,A,A,H,-,A,C,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.21632385253906,37.769989013671875
8631671,2018,2018-06-12,0109,2018-02-12,0635,8046,1,1,5,7,0109,0,0,0,,0,03X,"7TH ST",WEBSTER,0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,D,-,00,,,N,G,G,A,A,H,-,B,A,0,,Y,,,Y,,-,"- ",0,0,1,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.27178955078125,37.798561096191406
