CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
8573346,1,1,Y,-,998,G,G,E,-,B,,-,-,-,-,"- ",,,N,-,0,0,E,,TOYOTA,A,01,,,,-,-,2018
8573346,2,2,N,F,32,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2018
8926673,1,1,Y,M,37,G,G,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2017,FORD,A,01,,H,,-,-,2019
8926673,2,2,N,F,9,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2019
8688016,1,1,N,-,998,H,H,S,B,-,,-,3,-,-,"- ",,,N,-,0,0,A,2009,VOLKSWAGEN,A,01,,,,-,-,2018
8688016,2,4,N,M,41,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2018
8947359,1,1,Y,M,37,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,F,2017,NISSAN,A,01,,H,,-,-,2019
8947359,2,4,N,M,54,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2019
8868622,1,1,Y,F,998,G,G,E,N,B,N,-,-,-,-,"- ",,,N,-,0,0,D,2000,FORD,A,01,,W,,-,-,2019
8868622,2,2,N,M,56,B,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2019
8830464,1,1,Y,F,47,A,-,E,M,F,Y,-,-,-,-,"- ",,,N,-,0,0,G,2000,SUZUKI,A,01,,W,,-,-,2019
8830464,2,4,N,M,76,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,,,-,-,2019
8810209,1,1,Y,M,30,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2014,NISSAN,A,01,,H,,-,-,2019
8810209,2,2,N,M,18,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2019
9090763,1,4,Y,M,44,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,B,,-,-,2020
9090763,2,1,N,M,45,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2020,TESLA,A,01,,W,,-,-,2020
9230044,1,2,Y,F,51,G,G,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2020
9230044,2,1,N,-,998,-,-,W,B,-,,-,-,-,-,"- ",,,N,-,0,0,B,,HONDA,A,01,,,,-,-,2020
9182259,1,1,Y,-,998,G,G,E,P,B,,-,-,-,-,"- ",,,N,-,0,0,B,1999,-,A,01,,,,-,-,2020
9182259,2,2,N,M,44,G,G,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,O,,-,N,60,,B,,-,-,2020
9065844,1,2,Y,F,56,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2020
9065844,2,1,N,M,998,G,G,N,N,B,N,-,-,-,,19,20002,,A,-,0,0,B,,-,A,01,,B,,-,-,2020
8955029,1,1,Y,-,998,G,G,S,-,-,,-,-,-,-,"- ",,,N,-,0,0,D,2005,CHRYSLER,A,01,,,,-,-,2019
8955029,2,2,N,F,59,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2019
8947311,1,1,Y,M,33,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,D,2018,VOLKSWAGEN,A,07,,W,,-,-,2019
8947311,2,4,N,M,28,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2019
8911548,1,2,Y,M,40,-,E,E,-,-,O,-,-,-,-,"- ",,,N,-,1,0,-,,-,N,60,,B,,-,-,2019
8911548,2,1,N,M,34,A,-,S,M,H,,-,-,-,-,"- ",,,M,-,0,0,B,2019,-,A,01,,B,,-,-,2019
9102367,1,1,Y,M,22,-,-,W,M,G,N,-,-,-,-,"- ",,,N,-,0,1,B,1999,-,A,01,,B,,-,-,2020
9102367,2,4,N,M,52,-,-,E,-,-,,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2020
9297072,1,1,Y,M,26,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2008,-,D,22,,B,,-,-,2021
9297072,2,2,N,F,39,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2021
9136283,1,2,Y,M,34,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2020
9136283,2,1,N,F,45,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,1,E,2016,-,A,07,,O,,-,-,2020
9586538,1,1,Y,M,33,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,D,2019,-,A,01,,W,,-,-,2022
9586538,2,4,N,M,37,A,-,S,-,-,,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,A,,-,-,2022
9360425,1,1,Y,F,68,A,-,W,M,F,N,-,3,-,-,"- ",,,N,-,0,0,O,2003,-,A,01,,B,,-,-,2021
9360425,2,4,N,F,29,A,-,W,-,-,,-,3,-,-,"- ",,,-,-,0,1,B,,-,L,04,,H,,-,-,2021
8922551,1,1,Y,-,998,G,G,S,N,B,,-,-,-,-,"- ",,,N,-,0,0,E,,-,A,01,,,,-,-,2019
8922551,2,2,N,M,59,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2019
8922551,3,2,N,M,60,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2019
8915605,1,1,Y,M,998,G,G,W,M,B,,-,-,-,-,"- ",,,A,N,0,0,P,2008,CHEVROLET,A,01,,B,,-,-,2019
8915605,2,2,N,M,998,H,H,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,A,,-,N,60,,W,,-,-,2019
8631671,1,1,N,F,998,G,G,S,-,B,,-,-,-,-,"- ",,,N,-,0,0,E,2015,VOLKSWAGEN,A,01,,B,,-,-,2018
8631671,2,4,N,M,65,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,A,,-,L,04,,B,,-,-,2018
9369131,1,4,Y,M,65,A,-,S,-,-,N,-,-,-,-,"- ",,,N,-,0,1,L,,-,L,04,,W,,-,-,2021
9369131,2,1,N,M,24,A,-,W,M,-,Y,-,-,-,-,"- ",,,G,-,0,0,B,2019,FORD,A,01,,B,,-,-,2021
9586652,1,1,Y,M,47,A,-,N,L,-,Y,-,1,-,-,"- ",,,A,N,0,0,Q,2018,-,A,01,,W,,-,-,2022
9586652,2,1,N,F,78,A,-,N,C,M,Y,-,-,-,-,"- ",,,N,-,0,1,A,2020,-,A,01,,B,,-,-,2022
9586652,3,1,N,F,46,A,-,S,M,H,Y,-,-,-,-,"- ",,,N,-,0,1,B,2004,-,A,07,,W,,-,-,2022
9586652,4,4,N,F,27,A,-,S,-,-,,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2022
9512485,1,1,Y,M,26,A,-,E,M,G,,-,-,-,-,"- ",,,N,-,0,0,F,2015,-,A,01,,W,,-,-,2022
9512485,2,2,N,M,50,G,G,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2022
9360439,1,1,Y,-,998,G,G,W,-,B,,-,3,-,-,"- ",,,N,-,0,0,M,,-,-,99,,,,-,-,2021
9360439,2,4,N,M,38,G,G,W,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2021
9133211,1,1,Y,M,998,G,G,S,M,B,,-,-,-,-,"- ",,,N,-,0,0,D,2018,-,F,26,,H,,-,-,2020
9133211,2,4,N,M,48,C,-,E,-,-,,-,-,-,-,"- ",,,N,-,0,1,R,,-,L,04,,B,,-,-,2020
9182549,1,2,Y,M,2,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,L,,-,N,60,,B,,-,-,2020
9182549,2,1,N,M,36,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2019,-,A,01,,B,,-,-,2020
9009794,1,1,Y,F,16,A,-,S,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2005,TOYOTA,A,01,,W,,-,-,2019
9009794,2,2,N,M,68,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2019
9520340,1,1,Y,M,19,-,I,E,M,G,,-,-,-,,00,21655,1,A,-,0,2,M,2003,-,A,01,,B,,-,-,2022
9520340,2,1,N,M,54,A,-,E,M,G,,-,-,-,-,"- ",,,N,-,0,0,B,2001,-,A,07,,B,,-,-,2022
9520340,3,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,2,O,2018,-,A,07,,,,-,-,2022
9520340,4,2,N,M,28,G,G,S,-,-,O,-,-,-,-,"- ",,,N,-,1,0,-,,-,N,60,,A,,-,-,2022
9520340,5,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2020,-,C,02,,,,-,-,2022
9520340,6,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,,-,C,02,,,,-,-,2022
9520340,7,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2015,-,C,02,,,,-,-,2022
9520340,8,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,O,2002,FORD,A,07,,,,-,-,2022
9520340,9,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2011,-,A,01,,,,-,-,2022
9520340,10,3,N,-,998,H,H,N,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2022,FORD,A,07,,,,-,-,2022
8757774,1,1,Y,M,998,G,G,N,-,-,,-,-,-,-,"- ",,,N,-,0,0,G,2005,CHEVROLET,A,01,,H,,-,-,2018
8757774,2,2,N,F,68,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2018
9161726,1,4,Y,M,36,D,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,D,,-,L,04,,W,,-,-,2020
9161726,2,1,N,M,37,A,-,E,M,C,Y,-,3,-,-,"- ",,,N,-,0,0,B,2009,-,A,01,,H,,-,-,2020
9482720,1,1,Y,-,998,G,G,W,-,B,,-,-,-,-,"- ",,,-,-,0,0,-,,-,D,22,,,,-,-,2022
9482720,2,2,N,M,66,A,-,-,-,-,O,-,3,-,-,"- ",,,N,-,0,1,M,,-,N,60,,W,,-,-,2022
9490274,1,1,Y,-,998,G,G,S,-,B,,-,-,-,-,"- ",,,N,-,0,0,B,,-,A,01,,,,-,-,2022
9490274,2,2,N,F,54,A,-,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,O,,-,-,2022
8465932,1,1,Y,-,998,G,G,E,B,-,,-,-,-,-,"- ",,,N,-,0,0,B,,NISSAN,A,07,,,,-,-,2018
8465932,2,2,N,M,26,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2018
9136417,1,1,Y,-,998,G,G,N,M,B,,-,-,-,-,"- ",,,N,-,0,0,E,,-,A,01,,,,-,-,2020
9136417,2,2,N,F,74,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2020
8749046,1,2,Y,M,57,G,G,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2018
8749046,2,1,N,M,47,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2004,HONDA,A,01,,,,-,-,2018
9617790,1,1,N,-,998,G,G,N,N,B,,-,-,-,-,"- ",,,A,O,0,0,B,,-,A,01,,,,-,-,2022
