CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8573346,2,1,3,F,32,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8926673,2,1,3,F,9,4,9,-,-,0,ALAMEDA,OAKLAND,2019
9090763,1,1,4,M,44,4,9,P,A,0,ALAMEDA,OAKLAND,2020
9090763,2,1,2,F,41,0,3,M,G,0,ALAMEDA,OAKLAND,2020
9090763,2,2,2,F,7,0,6,M,G,0,ALAMEDA,OAKLAND,2020
9090763,2,3,2,M,4,0,4,M,G,0,ALAMEDA,OAKLAND,2020
9133211,2,1,4,M,48,4,-,V,-,0,ALAMEDA,OAKLAND,2020
9136283,1,1,3,M,34,2,-,-,-,-,ALAMEDA,OAKLAND,2020
9136283,2,1,1,F,45,4,1,M,G,0,ALAMEDA,OAKLAND,2020
9297072,2,1,3,F,39,4,-,-,-,0,ALAMEDA,OAKLAND,2021
9360439,2,1,4,-,38,2,-,P,B,3,ALAMEDA,OAKLAND,2021
9512485,2,1,3,M,50,7,-,-,-,-,ALAMEDA,OAKLAND,2022
9586652,2,1,1,-,78,4,1,M,B,0,ALAMEDA,OAKLAND,2022
9586652,3,1,1,-,46,4,-,M,B,0,ALAMEDA,OAKLAND,2022
9586652,3,2,2,F,7,0,6,M,Q,0,ALAMEDA,OAKLAND,2022
9586652,4,1,4,-,27,4,-,-,-,0,ALAMEDA,OAKLAND,2022
8810209,2,1,3,M,18,3,9,P,A,0,ALAMEDA,OAKLAND,2019
8830464,2,1,4,M,76,4,9,-,W,3,ALAMEDA,OAKLAND,2019
8868622,2,1,3,M,56,4,9,P,H,0,ALAMEDA,OAKLAND,2019
8947359,1,1,2,M,33,0,6,M,G,0,ALAMEDA,OAKLAND,2019
8947359,2,1,4,M,54,4,9,-,-,0,ALAMEDA,OAKLAND,2019
9102367,1,1,2,F,19,4,3,M,G,0,ALAMEDA,OAKLAND,2020
9102367,2,1,4,M,52,4,-,-,V,-,ALAMEDA,OAKLAND,2020
9369131,1,1,4,M,65,3,9,P,V,0,ALAMEDA,OAKLAND,2021
8631671,2,1,4,M,65,4,1,P,V,0,ALAMEDA,OAKLAND,2018
