neighborhood,title,price,beds_sqft,pid,longitude,date,subregion,link,latitude
 (bayview),Take A TOUR ON OUR ONE FURNISHED BEDROOM TODAY,$950,   / 1br -    ,4076905111,-122.396965,Sep 18 2013,SF,/sfc/apa/4076905111.html,37.761216
 (bayview),Only walking distance to major shopping centers.,$950,   / 1br -    ,4076901755,-122.396793,Sep 18 2013,SF,/sfc/apa/4076901755.html,37.76108
 (bayview),"furnished - 1 Bedroom(s), 1 Bath(s), Air Conditioner, Family Room, ",$950,   / 1br -    ,4076899340,-122.3971,Sep 18 2013,SF,/sfc/apa/4076899340.html,37.7621
 (financial district),"*NEW* Beautiful, Upscale Condo in Historic Jackson Square",$3300,   / 1br - 830ft² -    ,4067393707,-122.399747,Sep 18 2013,SF,/sfc/apa/4067393707.html,37.798108
 (visitacion valley),楼上全层3房,$2000,   / 3br - 1280ft² -    ,4076901071,,Sep 18 2013,SF,/sfc/apa/4076901071.html,
 (bernal heights),"2 Bedroom House w/Bonus Room, Fireplace, Yard, Deck & Views",$3850,   / 2br -    ,4076899828,,Sep 18 2013,SF,/sfc/apa/4076899828.html,
 (marina / cow hollow),"♥♥♥ Chic, cozy & sunny in Marina ♥♥♥ ",$3399,      ,4076892173,,Sep 18 2013,SF,/sfc/apa/4076892173.html,
 (north beach / telegraph hill),Fully Furnished 2BR/2BA Condo with Bay View,$5250,   / 2br - 1000ft² -    ,4076895917,,Sep 18 2013,SF,/sfc/apa/4076895917.html,
 (bayview),"We accept either 6, 12 month or month-to-month lease",$950,   / 1br -    ,4076896866,-122.397137,Sep 18 2013,SF,/sfc/apa/4076896866.html,37.76203
 (bayview),"3 Bayside Village Pl, San Francisco, CA 94107",$950,   / 1br -    ,4076892885,-122.39645,Sep 18 2013,SF,/sfc/apa/4076892885.html,37.764065
 (castro / upper market),remodeled 1bd/1ba,$2950,   / 1br - 900ft² -    ,4076891344,-122.440334,Sep 18 2013,SF,/sfc/apa/4076891344.html,37.757405
 (sunset / parkside),Panoramic Ocean View 2 Bedroom House,$3500,   / 2br - 1400ft² -    ,4060191270,-122.483582,Sep 18 2013,SF,/sfc/apa/4060191270.html,37.748315
 (russian hill),Condo for rent,$2800,   / 1br - 720ft² -    ,4076859550,-122.41928,Sep 18 2013,SF,/sfc/apa/4076859550.html,37.800361
 (russian hill),This Beautiful Condo for rent,$2700,   / 1br - 720ft² -    ,4076794143,-122.4091,Sep 18 2013,SF,/sfc/apa/4076794143.html,37.8002
 (mission district),"Brand New Beautiful 1 Bedroom, 1 Bathroom ",$2100,   / 1br -    ,4076879610,-122.439626,Sep 18 2013,SF,/sfc/apa/4076879610.html,37.719284
 (excelsior / outer mission),10-month sublet Furnished 2 BR Home in Mission Terrace utls. included,$2600,   / 2br - 900ft² -    ,4041653284,-122.43985,Sep 18 2013,SF,/sfc/apa/4041653284.html,37.723481
 (inner sunset / UCSF),"Spacious Home, Freshly Painted & New Floors, W& D - Open Fri 5-6pm",$2850,   / 2br -    ,4076867759,-122.4836,Sep 18 2013,SF,/sfc/apa/4076867759.html,37.7593
 (russian hill),A wholesome Apartment to suit your demand ,$3500,   / 2br - 1054ft² -    ,4076794509,-122.4186,Sep 18 2013,SF,/sfc/apa/4076794509.html,37.7917
 (castro / upper market),"Unfurnished Custom Home not a Flat, backyard w/views. Pets Okay.",$6100,   / 3br -    ,4050301632,-122.435472,Sep 18 2013,SF,/sfc/apa/4050301632.html,37.765727
 (castro / upper market),"Furnished Custom Edwardian Home, backyard w/views. Pets Okay.",$6495,   / 3br -    ,4050192349,-122.435472,Sep 18 2013,SF,/sfc/apa/4050192349.html,37.765727
 (Lake Tahoe),House sitting $890 1500ft² -Sun deck- 8 to 12 mo,$890,      ,4076829439,,Sep 18 2013,SF,/sfc/apa/4076829439.html,
 (pacific heights),"Remodeled, cozy one bedroom in Pacific Heights",$2800,   / 1br -    ,4076869885,-122.443753,Sep 18 2013,SF,/sfc/apa/4076869885.html,37.787647
 (haight ashbury),Sunny top floor 960 sq ft 2 bd,$3500,   / 2br - 960ft² -    ,4076867004,-122.445535,Sep 18 2013,SF,/sfc/apa/4076867004.html,37.771142
