STNAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785298,4799918,4815960,4829479,4843214,4853875,4863300
Alaska,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713985,722713,731089,736879,736705,737709,741894
Arizona,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6413737,6467163,6549634,6624617,6719993,6817565,6931071
Arkansas,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921606,2939493,2950685,2958663,2966912,2977853,2988248
California,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37349363,37676861,38011074,38335203,38680810,38993940,39250017
Colorado,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5049071,5118360,5189867,5267603,5349648,5448819,5540545
Connecticut,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3577073,3589893,3593795,3596003,3591873,3584730,3576452
Delaware,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899769,907924,916993,925395,934948,944076,952065
District of Columbia,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,604453,620477,635327,649165,659005,670377,681170
Florida,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18843326,19096952,19344156,19582022,19888741,20244914,20612439
Georgia,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712587,9811610,9914668,9984938,10087231,10199398,10310371
Hawaii,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363621,1377864,1391820,1406481,1416349,1425157,1428557
Idaho,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571450,1584143,1595911,1612011,1633532,1652828,1683140
Illinois,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12843166,12860012,12870798,12879505,12867544,12839047,12801539
Indiana,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490621,6516480,6537743,6569102,6595233,6612768,6633053
Iowa,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3049883,3065223,3076310,3091930,3108030,3121997,3134693
Kansas,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2859169,2869503,2885262,2892821,2899360,2906721,2907289
Kentucky,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4346266,4369354,4384799,4400477,4413057,4424611,4436974
Louisiana,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544228,4575404,4603429,4626402,4647880,4668960,4681666
Maine,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327567,1328231,1328895,1329076,1330719,1329453,1331479
Maryland,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5785982,5843603,5889651,5931129,5967295,5994983,6016447
Massachusetts,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6557254,6611923,6658008,6706786,6749911,6784240,6811779
Michigan,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877574,9876213,9887238,9898982,9915767,9917715,9928300
Minnesota,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310584,5348562,5380285,5418521,5453109,5482435,5519952
Mississippi,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970036,2978162,2984945,2990482,2992400,2989390,2988726
Missouri,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996231,6010717,6025415,6042711,6060930,6076204,6093000
Montana,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990898,997821,1005196,1014314,1022867,1032073,1042520
Nebraska,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1830429,1842283,1855725,1868559,1881145,1893765,1907116
Nevada,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2704642,2718379,2752565,2786464,2833013,2883758,2940058
New Hampshire,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316759,1318473,1321182,1322687,1328743,1330111,1334795
